date,isEdited,userName,review,rating,title,developerResponse
2021-05-29 18:06:44,False,변규리규리,환불부탁드립니다 결제취소용 ㅜㅜ 잘못 결제했어요,3,환불이여,"{'id': 23219024, 'body': 'Hello,\nAs our app is a virtual product, we cannot provide you with a refund once the purchase is made, unless there are serious flaws or that the app is not functioning properly. Sorry for the inconvenience. ', 'modified': '2021-06-06T13:29:01Z'}"
2021-01-13 13:37:05,False,ㅗㅓ아,"동기부여 팍팍
수면리듬이 항상 불규칙했는데 좋아요",5,굳굳,
2019-07-10 11:17:12,False,hwayah,잘 맞았으면 좋겠네요~,5,처음 사용해보려구요~,
2020-07-04 03:53:59,False,룰루랄라데자와,ㅎㅎ,5,수면패턴 잡는데 도움이 되었으면 좋겠네요,
2019-05-14 07:52:55,False,벴코야,좋다고해서 받았어요 이것저것 눌러보고적응중입니다,4,아직적응중이요,
2019-05-01 23:14:30,False,ㅎㅈ23요,건강한 수면습관 가질 수 있었으면 좋겠네요!,5,재밌어요,
2019-06-18 02:16:08,False,딩딩딩댕,건물짓는 재미로 제가 일찍자게될줄은 몰랐네요 만족이요!,4,좋아요,
2018-10-12 15:28:59,False,한국고양이,처음 페이지에 폰을 다룬곳’이’ 둡니다  로 되어있네요ㅎㅎ,5,오타 있어요!,
2019-04-17 07:09:41,False,리리원,밤에 자기전에 스마트폰 안하려고 구매햇어요,5,좋아요,
2019-05-26 12:24:13,False,아이패드제발요ㅜㅜ,밤에 자꾸 핸드폰 하느라 늦게 자서 깔게 되었어요!,5,잘 써볼게요!,
2019-07-15 16:55:30,False,레번클로,묘한 어기때문에 폰을 내려놓게되네요!,4,잘 쓰고있어요!,
2020-07-15 07:34:08,False,조성주123,잘 쓰고 있습니다,5,수험생 기상 습관잡기 최고의 앱,
2019-04-14 23:01:23,False,봉보로롱,잠자는 시간이 규칙적으로 바뀌었어요!!,5,좋아요~~,
2022-06-11 22:58:48,False,청춘fc6,늦게 유튜브 보는습관을 고치려고 깔았습니다,5,생활습관,
